epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,3276.84,1.50634,1.17337,1.26814,0.70618,0.5968,0.68296,0.38694,1.75252,0.96192,1.30658,0.0069706,0.0069706,0.0069706
155,3298.27,1.49519,1.17528,1.26396,0.6989,0.60448,0.68353,0.38699,1.75311,0.96058,1.30646,0.0069508,0.0069508,0.0069508
156,3320.99,1.49606,1.16884,1.25803,0.70982,0.6042,0.68067,0.38687,1.75386,0.9613,1.30683,0.006931,0.006931,0.006931
157,3342.38,1.49276,1.15368,1.26437,0.71177,0.60562,0.6827,0.38734,1.75835,0.96283,1.30857,0.0069112,0.0069112,0.0069112
158,3364.33,1.49141,1.16828,1.2573,0.70879,0.60515,0.68115,0.38568,1.75664,0.96438,1.30773,0.0068914,0.0068914,0.0068914
159,3385.36,1.49184,1.16323,1.26435,0.69809,0.60786,0.68068,0.38569,1.75651,0.96593,1.30801,0.0068716,0.0068716,0.0068716
160,3406.34,1.49143,1.16523,1.26207,0.69548,0.60652,0.68064,0.38324,1.76193,0.96714,1.31025,0.0068518,0.0068518,0.0068518
161,3427.35,1.4879,1.14053,1.25711,0.70764,0.60874,0.68539,0.38604,1.76445,0.96342,1.31057,0.006832,0.006832,0.006832
162,3448.38,1.48919,1.16045,1.26071,0.68933,0.61848,0.68799,0.38591,1.76565,0.9625,1.31144,0.0068122,0.0068122,0.0068122
163,3469.38,1.47686,1.13243,1.24458,0.68844,0.62991,0.68515,0.38512,1.76466,0.96068,1.3111,0.0067924,0.0067924,0.0067924
164,3490.44,1.48048,1.15426,1.25339,0.6987,0.62229,0.68141,0.38291,1.76539,0.95778,1.31105,0.0067726,0.0067726,0.0067726
165,3511.44,1.4885,1.13978,1.25998,0.69552,0.6189,0.68052,0.38226,1.76119,0.95705,1.30891,0.0067528,0.0067528,0.0067528
166,3532.36,1.47976,1.15093,1.25404,0.7087,0.61873,0.67877,0.37972,1.76372,0.95602,1.3106,0.006733,0.006733,0.006733
167,3553.39,1.46374,1.13673,1.2493,0.66991,0.63882,0.67837,0.37996,1.75803,0.95377,1.3076,0.0067132,0.0067132,0.0067132
168,3574.37,1.4777,1.13612,1.2475,0.6771,0.63037,0.68272,0.38179,1.75765,0.95162,1.30693,0.0066934,0.0066934,0.0066934
169,3595.47,1.47076,1.12335,1.25036,0.67207,0.66158,0.68283,0.38017,1.76086,0.95202,1.30898,0.0066736,0.0066736,0.0066736
170,3616.48,1.46658,1.13546,1.2483,0.68216,0.63073,0.68183,0.38233,1.75716,0.94845,1.30614,0.0066538,0.0066538,0.0066538
171,3637.54,1.48213,1.14079,1.25304,0.67171,0.65968,0.68285,0.38451,1.75216,0.94837,1.30329,0.006634,0.006634,0.006634
172,3658.61,1.46465,1.11943,1.24304,0.67947,0.6535,0.68091,0.38311,1.75013,0.95007,1.30242,0.0066142,0.0066142,0.0066142
173,3679.63,1.45313,1.12595,1.24037,0.67994,0.65222,0.67998,0.38501,1.74673,0.94926,1.30109,0.0065944,0.0065944,0.0065944
174,3700.78,1.47226,1.11679,1.24886,0.68666,0.65338,0.68334,0.38884,1.74676,0.94998,1.30095,0.0065746,0.0065746,0.0065746
